,Products,depths,Solved
0,O=C(O)c1ccc(OCc2ccc(F)cc2Br)cc1Oc1ccccc1Cl,11.0,False
1,C=C(C)c1cc(Cl)ccc1C(=O)O,11.0,False
2,O=C(O)c1cccc2[nH]c(C(F)(F)F)c(Cl)c12,11.0,False
3,O=C(O)c1cc(C(F)(F)F)c(C(F)(F)F)c(Cl)c1F,2.0,True
4,CS(=O)(=O)c1cc(-c2cccc(C(F)(F)F)c2)ccc1C(=O)O,11.0,False
5,CC(C)(C)c1cc(C(=O)O)cc(F)c1F,11.0,False
6,C=C(C)c1[nH]c(-c2cc(OCC)cc(C(F)(F)F)c2)nc1C(=O)O,11.0,False
7,O=C(O)CC(F)(F)c1ccc(Cl)c(C(F)(F)F)c1,11.0,False
8,CC(C)c1ccc(C(=O)O)cc1Br,2.0,True
9,CCc1c[nH]c2c(C(F)(F)F)cc(F)c(C(=O)O)c12,11.0,False
10,O=C(O)c1ccc(-c2ccc(Cl)cc2OC(F)F)cc1Cl,11.0,False
11,Cc1cccc(-c2cccc(F)c2)c1C(=O)O,11.0,False
12,O=C(O)c1ccsc1-c1ccc(F)cc1,11.0,False
13,O=C(O)c1ncc(-c2cccc(C(F)(F)F)c2)[nH]1,11.0,False
14,CCc1c(C)cccc1Oc1ccc(C(F)(F)F)c(C(=O)O)c1,11.0,False
15,COc1ccc(OC)c(-c2cc(C(=O)O)[nH]c2C(F)(F)F)c1,11.0,False
16,CCCCOc1cc(OCCC)ccc1C(=O)O,0.0,True
17,O=C(O)c1ccc(C(=O)C(F)(F)F)c(Oc2cccnc2)c1,11.0,False
18,COc1cc(Oc2ccccc2C(=O)O)ccc1Cc1ccc(C(F)(F)F)c2ccccc12,11.0,False
19,CC(=O)c1cccc(-c2ccc(C(=O)O)cc2Cl)c1,2.0,True
20,Cc1cccc(Br)c1C(=O)O,3.0,True
21,COc1cc(-c2cccc(-c3cc(C)c(C(C)C)s3)n2)ccc1C(=O)O,11.0,False
22,O=C(O)c1cccc(-c2ccc(C(F)F)cc2C(F)(F)F)c1,11.0,False
23,O=C(O)c1ccc(Cl)c(O)c1F,2.0,True
24,CCC(F)(F)c1ccc(F)c(C(=O)O)c1,11.0,False
25,Cn1cc(-c2cc(C(=O)O)c(F)cc2F)cn1,11.0,False
26,Cc1[nH]c(C(=O)O)c(F)c1C,11.0,False
27,COc1cc(-c2ccc(C(=O)O)cc2)cc(OC)c1OC,11.0,False
28,Cc1cc(F)cc(C)c1-c1ccc(F)c(C(=O)O)c1,11.0,False
29,Nc1cc(C(=O)O)c(F)cc1-c1ccccc1,10.0,True
30,Cc1cc(C(C)(C)c2ccc(C(=O)O)cc2)c(C)cc1F,9.0,True
31,O=C(O)c1cc(Br)cc2c1[nH]c1ccccc12,11.0,False
32,CCOc1ccccc1-c1cc(C(=O)O)n[nH]1,11.0,False
33,O=C(O)c1ccc2ccccc2c1C1CCCC1,11.0,False
34,O=C(O)c1cc(-c2cc3ccccc3o2)cc2cccnc12,11.0,False
35,O=C(O)Cc1ccc(Cl)cc1-c1noc(-c2cccc(O)c2)n1,11.0,False
36,Nc1cccc(C(=O)O)c1O,11.0,False
37,Nc1cccc(-c2cc(O)c(C(=O)O)cn2)c1,11.0,False
38,COc1ccc(C(=O)O)c(-c2ccc(C(C)(F)F)c(O)c2)c1,11.0,False
39,O=C(O)c1ccc(Oc2ccccc2CC(F)(F)F)cc1F,11.0,False
40,CCCCCOc1cccc(C(=O)O)c1,11.0,False
41,Cc1ccc(C)c(-c2ccc(C(=O)O)nc2)c1,11.0,False
42,O=C(O)c1nc2ccc(Cl)cc2nc1-c1ccc(Cl)cc1Cl,11.0,False
43,COc1cc(Cc2cccc(Cl)c2C2(C(=O)O)CCCC2)ccc1O,11.0,False
44,CC(C)c1cc(Br)c(O)c(C(=O)O)c1,11.0,False
45,CCCc1c(C(=O)O)sc2ccc(C(F)(F)F)cc12,11.0,False
46,COc1c(F)cc(Cl)cc1C(=O)O,1.0,True
47,Cc1nc(N)ccc1C(=O)O,11.0,False
48,COc1ccc(-c2ncccn2)cc1C(=O)O,11.0,False
49,O=C(c1ccccc1)c1cccc2c(C(=O)O)cccc2c1=O,11.0,False
50,Cc1cc(C)cc(-c2ccc(C(C)(C)C)cc2C(=O)O)c1,2.0,True
51,CC(C)c1cc(Br)cc(O)c1C(=O)O,11.0,False
52,O=C(O)c1cc(-c2cccs2)n(-c2ccc(OC(F)F)c(F)c2)n1,11.0,False
53,COc1ncc(-c2cc(F)c(CCCC(=O)O)c(F)c2)cn1,11.0,False
54,O=C(O)c1csc2[nH]ccc12,11.0,False
55,COc1ccc(C=CC(=O)O)c(Br)c1,11.0,False
56,COc1c(C(C)=O)csc1C(=O)O,11.0,False
57,O=C(O)c1ccc(O)c(O)c1-c1cccnc1,11.0,False
58,Cc1ccc(Cl)cc1-c1c[nH]c(C(=O)O)c1,11.0,False
59,Cn1cc(C(=O)O)c2ccc(C(F)(F)F)cc21,11.0,False
60,Cc1cc(-c2cccs2)c(C(=O)O)cc1F,11.0,False
61,Cc1cc(C(=O)O)cc(C)c1Oc1ccccc1C(F)(F)F,11.0,False
62,CCOc1cc(Cl)cc(-c2ccc(C(=O)O)c(Cl)c2)c1Cl,11.0,False
63,Cc1cc(Cl)cc(C(=O)O)c1Cl,11.0,False
64,C=Cc1c(-c2ccccc2O)ccc(C)c1C(=O)O,11.0,False
65,CCOc1ccc(-c2cc(C(=O)O)ccc2Cl)cc1OC,11.0,False
66,CCCCOc1cccc(C)c1C(=O)O,11.0,False
67,CC(C)c1ccccc1-c1cc(Cl)c(C(=O)O)c(Cl)c1,11.0,False
68,O=C(O)c1c(F)ccc(Cl)c1Br,11.0,False
69,O=C(O)c1cc(C(=O)c2cccc(Br)c2C(F)(F)F)ccc1C(F)(F)F,11.0,False
70,CCc1ccccc1Oc1cc(-c2ccc(C(=O)O)nc2)ccn1,11.0,False
71,O=C(O)Cc1ccc(Oc2ccccc2)c(Cl)c1,11.0,False
72,Cc1cc(Cc2ccccc2C)cc(-c2ccc(C(=O)O)s2)c1,11.0,False
73,O=C(O)CC1CCCCC1,11.0,False
