,Products,depths,Solved
0,COc1ccc2cc(C(=O)O)ccc2c1OC,1.0,True
1,O=C(O)c1ccccc1-n1cnnc1,0.0,True
2,C=Cc1cccc(-c2ccnc(C(=O)O)c2Cl)c1,1.0,True
3,CCC(COc1cccc(OC(C)C)c1)C(=O)O,1.0,True
4,O=C(O)c1ncccc1-c1ncc[nH]1,1.0,True
5,COc1ccc2cc(C(=O)O)c(OCc3cc(F)ccc3Br)cc2c1,2.0,True
6,CCCc1cc(C(=O)O)ccc1Oc1ccccc1OC,1.0,True
7,CCOc1cc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2C(=O)O)cc(C(C)C)c1,1.0,True
8,COc1cc(OCc2cc(Cl)ccc2C(=O)O)ccc1Cl,1.0,True
9,O=C(O)Cc1ccc(O)c(C(=O)c2ccccc2)c1O,1.0,True
10,O=C(O)c1ccnc(Cl)c1Cl,0.0,True
11,CCc1cc2ccccc2n1-c1ccc(OC)cc1C(=O)O,2.0,True
12,CCc1[nH]ccc1C(=O)O,0.0,True
13,CC(C)c1ncc(-c2ccc(C(=O)O)s2)[nH]1,2.0,True
14,Nc1cc(C(=O)O)ccc1F,0.0,True
15,COc1ccc(-c2cc(OC(F)F)ccc2C(=O)O)cc1,1.0,True
16,O=C(O)c1cc(O)c(F)c(F)c1,0.0,True
17,Cc1cc(-c2ccccc2C(=O)O)cc(F)c1F,1.0,True
18,Cc1cc(=O)[nH]c(C)c1C(=O)O,0.0,True
19,O=C(O)c1cccc(C(=O)C=Cc2ccccc2)c1,1.0,True
20,CC12CCCC(CC1)C2(C)C(=O)O,11.0,False
21,O=C(O)c1cccc(-c2ccccc2)n1,0.0,True
22,O=C(O)CCC(c1cc(F)cc(F)c1)c1cccc(C(F)(F)F)c1,5.0,True
23,CCOc1ccc(C(=O)O)c(OCc2cccc(OC)c2)c1,1.0,True
24,Cc1cc(Cl)cc(Br)c1C(=O)O,0.0,True
25,C=CC(=O)c1ccc(C(=O)O)cc1C(F)(F)F,2.0,True
26,O=C(O)c1cc(-c2ccccc2)cc(C(F)(F)F)cc1=O,11.0,False
27,COc1cc(C(F)(F)F)ccc1-c1ccc(C(=O)O)cc1,1.0,True
28,O=C(O)Cc1ccc(-c2ccccc2)cc1,0.0,True
29,CCCCNCc1ccc(-c2nc(C(=O)O)c(C)s2)cc1,2.0,True
30,O=C(O)c1cc(-c2cc3ccccc3cc2O)c[nH]1,1.0,True
31,CC(C)c1ccc(Cc2ccc(C(F)(F)F)cc2C(=O)O)cc1,1.0,True
32,Cc1cc(-c2ccc(C(F)(F)F)cc2Cl)ccc1C(=O)O,1.0,True
33,COc1c(-c2cnc[nH]2)ccc(C(=O)O)c1Cl,1.0,True
34,CCOc1cc(C)c(C)c(C(=O)O)c1,1.0,True
35,N#Cc1cccc(-c2cc(-c3cccc(Cl)c3C(F)(F)F)cc(Br)c2C(=O)O)c1,2.0,True
36,CCCCOc1cc(C(=O)O)cc(OCC)c1F,1.0,True
37,COc1cc(Cc2cc(OC(F)(F)F)ccc2C(=O)O)ccc1C,1.0,True
38,O=C(O)c1nc(O)c(O)c(O)n1,1.0,True
39,CC(C)COc1cc(C(F)(F)F)ccc1C(C)(C)CC(=O)O,2.0,True
40,COc1c(C(=O)O)ccc(Br)c1F,0.0,True
41,CC(C)(C)c1c(O)cccc1Oc1ccc(Cl)cc1C(=O)O,1.0,True
42,CCCOc1ccc(C(=O)O)c(C(F)(F)F)c1,1.0,True
43,CCc1cc(F)c(C(=O)O)cc1-c1c(C)cc(C)nc1C,2.0,True
44,O=C(O)c1c(Cl)cc(Cl)cc1-c1ccoc1,1.0,True
45,C=Cc1c(C(=O)O)ccc(Cl)c1OC(F)(F)F,2.0,True
46,CC(C)c1ccc(C(=O)O)cc1-c1ccccc1,1.0,True
47,O=C(O)c1ccc(-c2ccc(OC(F)F)c(C(F)(F)F)c2)cc1,1.0,True
48,Cc1nccn1-c1nnc(C(=O)O)cc1Br,1.0,True
49,Cc1cn(-c2cc(C(=O)O)ccc2C(C)(C)C)cn1,1.0,True
50,CC(C(=O)O)c1ccc(-c2ccc(F)cc2)c(C(F)(F)F)c1,1.0,True
51,O=C(O)c1cc(-c2ccc(O)cc2Cl)cs1,1.0,True
52,CCOc1ccc(Br)cc1-c1sc(C)c(C(=O)O)c1C,3.0,True
53,O=C(O)c1cc(-c2ccccc2O)on1,0.0,True
54,O=C(O)c1ccc(-n2ccnn2)cc1,0.0,True
55,O=C(O)c1c(Cl)cc(F)c(OC(F)F)c1Cl,1.0,True
56,Cc1cccc(-c2c(C)cccc2C(=O)O)c1,1.0,True
57,O=C(O)c1cc2cc[nH]c2cc1C(F)(F)F,0.0,True
58,CCc1ccc(C(=O)O)c(F)c1,0.0,True
59,Cc1cccc(-c2ccc(Cl)c(C(=O)O)c2)c1,1.0,True
60,COc1ccc(-c2ccc(C(=O)O)cc2)c(Br)c1,1.0,True
61,CCOc1ccc(-c2ccc(CC)cc2)cc1C(=O)O,1.0,True
62,O=C(O)c1sccc1C1CCCCC1,1.0,True
63,Cc1ccnc(C(=O)O)c1Oc1cccnc1,1.0,True
64,CCc1cc(C)ccc1-n1nc(C(=O)O)c2ccccc21,1.0,True
65,O=C(O)Cc1ccc(O)cc1C(F)(F)F,0.0,True
66,CCC(=O)c1ccccc1-n1nc(C(=O)O)cc1C(F)(F)F,1.0,True
67,O=C(O)c1nc(-c2ccccc2)cs1,0.0,True
68,CC(C)c1c(C(=O)O)ccc2cc(Cl)ccc12,2.0,True
69,Nc1cc(-c2ccc(C3CCCC(F)C3)cc2C(=O)O)ccc1F,5.0,True
70,COc1cccc(Oc2cc(Cl)cc(C(=O)O)c2)c1,1.0,True
71,O=C(O)c1cccc(-c2ccccc2F)c1Br,1.0,True
72,CS(=O)(=O)c1ccccc1C(=O)O,0.0,True
73,O=C(O)c1ccc(Br)cc1F,0.0,True
74,COc1cc(C(=O)O)ccc1-c1cc[nH]c(=O)c1,1.0,True
75,CCC(C)Oc1cccc(OC)c1C(=O)O,1.0,True
76,CCOc1cc(Cl)c(Cl)cc1C(=O)O,1.0,True
77,O=C(O)c1c(F)cccc1-c1ccc(F)cc1,0.0,True
78,CC(C)Oc1ccc(-c2ccc(C(=O)O)c(Br)c2)cc1,1.0,True
79,Cc1cc(C)c(C(=O)O)cc1Oc1cccc(Cl)c1,1.0,True
80,Cc1ccnc(C(=O)O)c1,0.0,True
81,CC(=O)c1ccc(-c2cc(Cl)c(C(=O)O)cc2C)[nH]1,2.0,True
82,COc1cccc(-c2cc(OC)c(CC(=O)O)cc2C(F)(F)F)c1,2.0,True
83,Cc1ncc(O)c(C(=O)O)n1,0.0,True
84,Cc1ccc(-c2ccccc2C(=O)O)c(O)c1,1.0,True
85,COc1ccc(-c2ccc(C(=O)O)cc2Cl)c(C(F)(F)F)c1,1.0,True
86,COc1ccc(C(=O)O)cc1-n1cc(C)c(=O)c(C(F)(F)F)n1,11.0,False
87,O=C(O)c1ccc(O)cc1-c1cccc(F)c1,0.0,True
88,Cc1c(O)c(C)c2ccccc2c1C(=O)O,2.0,True
89,C=C(C)c1c(F)cc(C(=O)O)cc1F,1.0,True
90,COc1cc(Cl)c2ncc(C)c(C)c2c1C(=O)O,2.0,True
91,CCOc1ccccc1-c1cc(C(=O)O)c(C(F)(F)F)cc1Cl,1.0,True
92,O=C(O)c1cccc(-c2ccc(Br)c(F)c2Cl)c1,1.0,True
93,Cc1cc(-c2ccccc2)ncc1C(=O)O,0.0,True
94,O=C(O)c1ccc(-c2ccsc2)cc1Br,1.0,True
95,O=C(O)c1[nH]c2cnccc2c1O,11.0,False
