,Products,depths,Solved
0,FC(F)(F)c1ccc(OCc2cccnc2)c(Cl)c1,11.0,False
1,FCCCOc1c(I)cccc1-c1ccccc1,11.0,False
2,CC(C)(C)CC(C)(C)Oc1ccccc1I,2.0,True
3,FC(F)(F)c1ccc(Br)c(C(F)(F)F)c1,2.0,True
4,FC(F)Oc1cccc(Br)c1OC(F)F,11.0,False
5,FC(F)(F)COc1ccccc1Oc1ccccc1I,11.0,False
2138,Brc1ccccc1OCc1cccc2ccccc12,1.0,True
7,CC1CCCN1CCOc1ccccc1Cl,11.0,False
1646,FCCCOc1ccccc1Br,3.0,True
9,COc1c(I)cccc1C1C(C)CC(=O)C1C,11.0,False
2186,Clc1cc(Br)cc2ccccc12,3.0,True
11,Clc1ccc(I)c(OCc2ccccc2)c1,2.0,True
4665,CC(=O)c1cc(Oc2ccccc2Br)ccc1F,1.0,True
13,Oc1c(I)cccc1OC(F)F,11.0,False
14,CC(C)Oc1cccc(I)c1C(F)(F)F,11.0,False
15,Nc1ccccc1Br,1.0,True
16,FC(F)(F)c1cc(Cl)cc(Oc2ccccc2Br)c1,2.0,True
17,Fc1cccc(Oc2cccc(I)c2)c1,2.0,True
18,Fc1cc(F)c(Oc2ccccc2Br)cc1F,2.0,True
19,COc1cc(F)cc(COc2ccccc2Br)c1,5.0,True
1832,Fc1cc(F)c(C(F)(F)F)cc1Oc1ccccc1I,2.0,True
21,CCCCCOc1c(C)cccc1Br,0.0,True
2790,Cc1c(Cl)cc2ccccc2c1F,2.0,True
23,Fc1cc(F)c(COc2ccccc2Br)cc1F,2.0,True
4636,Clc1ccccc1CCOc1ccccc1Br,3.0,True
4314,Cc1cccc(Oc2ccc(C(F)(F)F)cc2Cl)c1C,1.0,True
26,Cc1cccc(C)c1Br,3.0,True
27,Nc1cccc2ccc3cccc(I)c3c(=O)c12,11.0,False
901,Brc1ccccc1COc1ccccc1,9.0,True
29,Brc1cccc2c1OCCO2,1.0,True
30,FC(F)(F)c1cccc2c(Br)cccc12,11.0,False
32,FC(F)COc1c(Cl)cc(OC(F)F)cc1Br,11.0,False
1335,CC(C)(C)c1ccc(O)c(Br)c1,2.0,True
34,COc1ccc(Oc2ccccc2Br)c(Cl)c1,6.0,True
35,CCCCc1ccccc1Oc1ccccc1Br,11.0,False
6153,Brc1ccccc1Oc1cccc2ccccc12,2.0,True
37,COc1cccc(COc2ccccc2I)c1,11.0,False
38,FCOc1ccccc1I,11.0,False
39,COc1c([O-])cccc1Cl,11.0,False
40,Cc1cccc(Cl)c1COc1ccccc1Cl,11.0,False
41,COc1cccc(Cl)c1OCc1ccc(C(F)(F)F)cc1,11.0,False
42,CC(C)c1cccc(COc2ccccc2Br)c1,11.0,False
43,COc1ccc(-c2ccccc2Br)c(OC)c1OC,11.0,False
4525,Clc1cccc(Oc2ccccc2Br)c1Cl,2.0,True
45,CC(C)c1ccnn1-c1c(Cl)cccc1Cl,11.0,False
46,CCCCOc1c(I)cccc1OCC(F)(F)F,11.0,False
47,CC(C)(C)c1cccc(Cl)c1Oc1c(F)cccc1Br,11.0,False
1290,Clc1ccc(I)c(Cl)c1,0.0,True
3552,Fc1c(I)cccc1C(F)F,2.0,True
50,COc1cc(OC(F)(F)F)ccc1I,11.0,False
5164,Clc1cccc(-c2ccccc2)c1,1.0,True
52,Cc1cccc(Oc2c(Br)cccc2C(F)(F)F)c1C,2.0,True
228,Oc1c(Br)cccc1-c1ccccc1,3.0,True
1926,Oc1cccc2c(Cl)cccc12,1.0,True
55,FC(F)(F)COc1cccc(Cl)c1C(F)(F)F,11.0,False
56,Brc1cccc2cn[nH]c12,1.0,True
2941,COc1c(F)cccc1Cl,0.0,True
4922,COc1c(Cl)cccc1Oc1ccccc1,2.0,True
59,Cc1ccc(Oc2ccc(C)c(CCOc3ccccc3Br)c2)cc1Cl,11.0,False
60,Clc1cccc(Oc2cccc(Oc3ccccc3Cl)c2)c1,11.0,False
61,Cc1cccc(CCCOc2ccccc2Br)c1C,2.0,True
62,FC(F)Oc1cccc(Cl)c1OCCC(F)(F)F,11.0,False
63,FC(F)(F)c1cccc(COc2c(Br)cccc2C(F)(F)F)c1,11.0,False
64,CCCC(C)(CC)COc1ccccc1I,11.0,False
65,CCOc1ccc(Br)c(OC(C)C)c1,11.0,False
4697,Fc1cc(Cl)ccc1I,1.0,True
68,Cc1cccc(C(F)(F)F)c1CCOc1ccccc1Cl,11.0,False
69,COc1cccc(I)c1OCC1(C)CCCCC1,11.0,False
70,CCCOc1c(O)cccc1Br,2.0,True
213,Cc1cccc(Cl)c1Cl,1.0,True
72,COc1cncc(Oc2ccccc2Cl)c1,11.0,False
5538,Cc1ccc(F)c(COc2ccccc2Br)c1,6.0,True
3405,COc1ccccc1CCOc1c(C)cccc1Br,2.0,True
1558,Brc1cccc2[nH]ccc12,0.0,True
5277,COc1cc(Cl)cc(Br)c1C(F)(F)F,3.0,True
5801,Fc1cccc(C(F)(F)F)c1Oc1ccccc1Br,8.0,True
78,COc1cccc(Br)c1OCc1cccc(C(F)(F)F)c1,11.0,False
79,Oc1ncccc1I,1.0,True
80,Brc1ccc2cccc(Br)c2c1,2.0,True
5374,FC(F)Oc1cc(OC(F)(F)F)ccc1Cl,2.0,True
82,Cc1cc(Oc2ccccc2I)c(C)c(C)c1Cl,4.0,True
83,Cc1cccc(C(F)(F)F)c1Oc1ccc(C#N)cc1Cl,3.0,True
322,N#Cc1cccc(Br)c1F,1.0,True
85,N#Cc1ccc(Cl)c(F)c1,2.0,True
86,COc1cccc(Oc2ccc(Cl)cc2Br)c1,11.0,False
87,CCC(COc1ccccc1Cl)Cc1cccc(NC(C)(C)c2ccccc2C(C)(C)C)c1,11.0,False
88,COc1ccc(F)cc1Cl,1.0,True
89,Fc1ncccc1I,2.0,True
