,Products,depths,Solved
1877,FC(F)Oc1ccc(C(F)(F)F)c(Br)c1,0.0,True
1,CC(C)(C)c1ccc(Cl)c(OC2CCCC2)c1,1.0,True
2,Cc1c(Br)cccc1C(F)(F)F,0.0,True
2832,CCCOc1ccc(Br)c(C)c1C,0.0,True
4,Clc1ccc(Cl)c2ccccc12,0.0,True
5,FC(F)(F)c1cc(Oc2ccccc2I)cc(C(F)(F)F)c1,1.0,True
6,COc1cc(OC(F)F)c2cccc(Cl)c2c1,2.0,True
7,COc1c(O)ccc(I)c1OC,1.0,True
8,Fc1ccc(I)c(Cl)c1Cl,0.0,True
9,CC(C)(C)c1ccccc1Oc1c(N)cccc1Cl,1.0,True
10,CCc1cccc(Cl)c1OC(C)C,1.0,True
11,CC1CCC(COc2ccccc2Br)CC1,1.0,True
12,Clc1ccccc1Oc1cc2ccccc2cc1I,1.0,True
715,COc1c(Br)ccc(Br)c1OC,0.0,True
14,CCCOc1c(Cl)cccc1OCC,1.0,True
15,Brc1cccc2cn[nH]c12,0.0,True
16,Clc1ccccc1OCCCCOc1ccccc1,1.0,True
17,CCOc1ccc(COc2ccccc2Br)cc1,1.0,True
18,Oc1ccc(O)c(Br)c1,0.0,True
884,Cc1cccc(CCCOc2ccccc2Oc2ccccc2Br)c1,1.0,True
20,CCOc1ccc(OCCCCc2ccccc2)c(Br)c1,1.0,True
21,Ic1ccccc1OC(c1ccccc1)c1ccccc1,1.0,True
22,CC(F)(F)c1cccc(F)c1Oc1ccccc1Cl,1.0,True
23,Fc1ccc2cccc(I)c2c1,0.0,True
24,Fc1cccc(F)c1Oc1ccccc1Cl,1.0,True
25,CCCOc1cccc(-c2ccccc2Br)c1,1.0,True
26,CCOc1ccc(Br)c(OCc2ccccc2)c1,1.0,True
27,FC(F)(F)c1ccccc1COc1ccccc1Br,1.0,True
28,Cc1ccc(Cl)cc1COc1ccccc1Cl,1.0,True
861,Cc1ccccc1COc1ccccc1Br,0.0,True
30,Brc1cccc2ncccc12,0.0,True
31,Clc1cccc2[nH]nc(Br)c12,0.0,True
32,COc1ccccc1Nc1ccncc1Cl,1.0,True
33,Fc1ccc(I)c(OC2CCCC2)c1F,1.0,True
34,CC(=O)c1cccc(Cl)c1OCc1ccc(OC(F)(F)F)c(OC(F)F)c1,1.0,True
35,Cc1ccccc1-c1ccccc1Br,1.0,True
36,Cc1cccc(C)c1CCCOc1c(C)cccc1I,1.0,True
37,Ic1ccccc1OCC1CCCCCC1,1.0,True
38,Nc1cccc(Br)c1OCCF,1.0,True
39,CCCCNc1c(Cl)cccc1Cl,1.0,True
40,FC(F)(F)c1ccccc1CCCOc1ccccc1Cl,1.0,True
41,CCCC(Oc1ccccc1I)c1ccccc1,1.0,True
764,Brc1cnccc1OCc1ccccc1,0.0,True
43,Brc1ccnc2ccccc12,0.0,True
44,FC(F)Oc1c(Cl)ccc(Cl)c1Cl,0.0,True
45,CC(C)COc1c(N)cccc1Br,0.0,True
1977,Cc1ccc(Br)c(OC(C)C)c1C,0.0,True
47,Cc1c(O)c(I)cc2ccccc12,1.0,True
48,CCOc1ccccc1COc1c(I)cccc1OC,1.0,True
49,Clc1ccc(CC2(COc3ccccc3Cl)CCCCC2)c(Cl)c1,3.0,True
50,O=[N+]([O-])c1ccc(Br)c(Cl)c1OC(F)(F)F,1.0,True
51,Clc1cc(Cl)c(Oc2ccccc2Cl)cc1Cl,1.0,True
52,COc1cc(Oc2ccccc2Cl)c(F)cc1F,1.0,True
53,Nc1ccccc1Br,0.0,True
54,Oc1ccc(COc2ccccc2Br)cc1,1.0,True
55,FC(F)(F)C(F)(F)COc1ccccc1Br,1.0,True
56,FC(F)(F)c1ccc(Cl)c(C(F)(F)F)c1,0.0,True
1223,FC(F)(F)Oc1cc(Cl)ccc1I,0.0,True
58,FC(F)(F)c1c(Cl)cccc1I,0.0,True
59,Clc1cccc(-c2cccnc2)c1,0.0,True
60,Oc1ccc(Br)c2ccccc12,0.0,True
61,CCCOc1c(COc2ccccc2I)cccc1OCC(F)(F)F,3.0,True
555,FCCCCOc1ccccc1COc1ccccc1Br,1.0,True
63,COc1cc(Br)c2ccccc2c1Cl,1.0,True
64,Ic1ccccc1-c1ccncc1,0.0,True
65,Fc1cc(C2CCCc3ccccc32)ccc1Cl,1.0,True
66,COc1nccc(Br)c1OC,0.0,True
67,CCOc1ccc(OC)c(I)c1,1.0,True
68,CCc1ccccc1Oc1ccccc1Cl,1.0,True
3247,CCC(C)Oc1ccccc1Br,0.0,True
70,Ic1ccccc1Oc1ccc2ccccc2c1,1.0,True
